trial_id,Val_loss,epoch,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/batch_size,config/epochs,config/loss_function,config/lr0,config/patience,config/factor,config/minlr,config/betas,config/eps,config/weight_decay,config/amsgrad,config/dim,config/improved,config/n_conv
15797_00023,37.85213178545815,60.0,0.5962882041931152,True,60.0,2023-06-29_12-08-51,1688036931.0,54.36772274971008,19704.0,storm.cs.nott.ac.uk,10.148.136.74,54.36772274971008,60.0,"23_amsgrad=False,batch_size=32,dim=32,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,False,32.0,True,1.0
15797_00024,38.44307850908043,15.0,0.5768914222717285,True,15.0,2023-06-29_12-09-23,1688036963.0,25.752732753753662,20419.0,storm.cs.nott.ac.uk,10.148.136.74,25.752732753753662,15.0,"24_amsgrad=True,batch_size=64,dim=64,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,True,64.0,True,1.0
15797_00025,38.442870476931276,15.0,0.5416643619537354,True,15.0,2023-06-29_12-09-54,1688036994.0,25.742433786392212,20851.0,storm.cs.nott.ac.uk,10.148.136.74,25.742433786392212,15.0,"25_amsgrad=False,batch_size=64,dim=64,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,False,64.0,True,1.0
15797_00026,30.866331382628687,1000.0,0.7145700454711914,True,1000.0,2023-06-29_12-22-09,1688037729.0,729.5498156547546,21249.0,storm.cs.nott.ac.uk,10.148.136.74,729.5498156547546,1000.0,"26_amsgrad=True,batch_size=16,dim=128,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,True,128.0,False,1.0
15797_00027,37.139081930960444,60.0,0.5423905849456787,True,60.0,2023-06-29_12-23-11,1688037791.0,52.89274263381958,8716.0,storm.cs.nott.ac.uk,10.148.136.74,52.89274263381958,60.0,"27_amsgrad=False,batch_size=64,dim=128,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,False,128.0,True,1.0
15797_00028,38.213692375352935,15.0,0.5127391815185547,True,15.0,2023-06-29_12-23-44,1688037824.0,27.254653692245483,9426.0,storm.cs.nott.ac.uk,10.148.136.74,27.254653692245483,15.0,"28_amsgrad=True,batch_size=64,dim=256,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,True,256.0,True,1.0
15797_00029,28.164600115599875,1000.0,0.6880083084106445,True,1000.0,2023-06-29_12-35-41,1688038541.0,711.1620817184448,10493.0,storm.cs.nott.ac.uk,10.148.136.74,711.1620817184448,1000.0,"29_amsgrad=False,batch_size=16,dim=256,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,False,256.0,True,1.0
15797_00030,38.92133062249848,15.0,0.5512373447418213,True,15.0,2023-06-29_12-36-16,1688038576.0,27.2241051197052,17991.0,storm.cs.nott.ac.uk,10.148.136.74,27.2241051197052,15.0,"30_amsgrad=True,batch_size=64,dim=16,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,True,16.0,False,1.0
15797_00031,37.71254286546492,60.0,0.7161417007446289,True,60.0,2023-06-29_12-37-22,1688038642.0,60.25720429420471,18439.0,storm.cs.nott.ac.uk,10.148.136.74,60.25720429420471,60.0,"31_amsgrad=False,batch_size=16,dim=16,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,False,16.0,True,1.0
15797_00032,39.01334667873958,15.0,0.5071744918823242,True,15.0,2023-06-29_12-37-54,1688038674.0,25.982033252716064,19201.0,storm.cs.nott.ac.uk,10.148.136.74,25.982033252716064,15.0,"32_amsgrad=True,batch_size=64,dim=32,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,True,32.0,True,1.0
15797_00033,38.03551724557256,15.0,0.5977346897125244,True,15.0,2023-06-29_12-38-28,1688038708.0,27.96193027496338,19606.0,storm.cs.nott.ac.uk,10.148.136.74,27.96193027496338,15.0,"33_amsgrad=False,batch_size=32,dim=32,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,False,32.0,False,1.0
15797_00034,38.443555706325284,15.0,0.5376722812652588,True,15.0,2023-06-29_12-39-00,1688038740.0,26.080596923828125,20045.0,storm.cs.nott.ac.uk,10.148.136.74,26.080596923828125,15.0,"34_amsgrad=True,batch_size=64,dim=64,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,True,64.0,False,1.0
15797_00035,38.22442592400531,15.0,0.6843323707580566,True,15.0,2023-06-29_12-39-35,1688038775.0,29.14617085456848,20460.0,storm.cs.nott.ac.uk,10.148.136.74,29.14617085456848,15.0,"35_amsgrad=False,batch_size=16,dim=64,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,False,64.0,False,1.0
15797_00036,36.82661010293318,60.0,0.5175216197967529,True,60.0,2023-06-29_12-40-32,1688038832.0,50.6052930355072,20878.0,storm.cs.nott.ac.uk,10.148.136.74,50.6052930355072,60.0,"36_amsgrad=True,batch_size=64,dim=128,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,True,128.0,False,1.0
15797_00037,36.880521854396314,60.0,0.5273168087005615,True,60.0,2023-06-29_12-41-29,1688038889.0,51.06211543083191,21540.0,storm.cs.nott.ac.uk,10.148.136.74,51.06211543083191,60.0,"37_amsgrad=False,batch_size=64,dim=128,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,False,128.0,False,1.0
15797_00038,38.194752058248795,15.0,0.5734305381774902,True,15.0,2023-06-29_12-42-03,1688038923.0,27.446083545684814,22202.0,storm.cs.nott.ac.uk,10.148.136.74,27.446083545684814,15.0,"38_amsgrad=True,batch_size=32,dim=256,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,True,256.0,False,1.0
15797_00039,38.25183483802353,15.0,0.5704009532928467,True,15.0,2023-06-29_12-42-36,1688038956.0,26.886728286743164,22654.0,storm.cs.nott.ac.uk,10.148.136.74,26.886728286743164,15.0,"39_amsgrad=False,batch_size=64,dim=256,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-09,0.0,False,256.0,True,1.0
15797_00040,38.34162695619898,15.0,0.51930832862854,True,15.0,2023-06-29_12-43-09,1688038989.0,26.07996940612793,23059.0,storm.cs.nott.ac.uk,10.148.136.74,26.07996940612793,15.0,"40_amsgrad=True,batch_size=64,dim=16,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,True,16.0,False,1.0
15797_00041,28.580788804264973,1000.0,0.6675162315368652,True,1000.0,2023-06-29_12-55-00,1688039700.0,706.0740375518799,23477.0,storm.cs.nott.ac.uk,10.148.136.74,706.0740375518799,1000.0,"41_amsgrad=False,batch_size=16,dim=16,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,False,16.0,False,1.0
15797_00042,38.43543925635304,15.0,0.5217461585998535,True,15.0,2023-06-29_12-55-34,1688039734.0,26.0546875,391.0,storm.cs.nott.ac.uk,10.148.136.74,26.0546875,15.0,"42_amsgrad=True,batch_size=64,dim=32,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,True,32.0,True,1.0
15797_00043,29.111980121262064,1000.0,0.7160630226135254,True,1000.0,2023-06-29_13-07-44,1688040464.0,724.2897381782532,846.0,storm.cs.nott.ac.uk,10.148.136.74,724.2897381782532,1000.0,"43_amsgrad=False,batch_size=16,dim=32,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,False,32.0,True,1.0
15797_00044,38.86605422433827,15.0,0.6118593215942383,True,15.0,2023-06-29_13-08-20,1688040500.0,27.83371615409851,8624.0,storm.cs.nott.ac.uk,10.148.136.74,27.83371615409851,15.0,"44_amsgrad=True,batch_size=32,dim=64,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,True,64.0,False,1.0
15797_00045,39.165577925877756,15.0,0.7165343761444092,True,15.0,2023-06-29_13-08-54,1688040534.0,28.51744818687439,9078.0,storm.cs.nott.ac.uk,10.148.136.74,28.51744818687439,15.0,"45_amsgrad=False,batch_size=16,dim=64,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,False,64.0,True,1.0
15797_00046,27.07215224390087,1000.0,0.5902037620544434,True,1000.0,2023-06-29_13-19-11,1688041151.0,611.159120798111,9506.0,storm.cs.nott.ac.uk,10.148.136.74,611.159120798111,1000.0,"46_amsgrad=True,batch_size=32,dim=128,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,True,128.0,False,1.0
15797_00047,24.17221898508994,1000.0,0.5963051319122314,True,1000.0,2023-06-29_13-29-36,1688041776.0,617.3686668872833,15849.0,storm.cs.nott.ac.uk,10.148.136.74,617.3686668872833,1000.0,"47_amsgrad=False,batch_size=32,dim=128,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,False,128.0,True,1.0
15797_00048,29.21349484463822,240.0,0.6066107749938965,True,240.0,2023-06-29_13-32-28,1688041948.0,164.2549750804901,22210.0,storm.cs.nott.ac.uk,10.148.136.74,164.2549750804901,240.0,"48_amsgrad=True,batch_size=32,dim=256,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,True,256.0,True,1.0
15797_00049,27.48843147697842,1000.0,0.6677978038787842,True,1000.0,2023-06-29_13-44-42,1688042682.0,726.313129901886,24011.0,storm.cs.nott.ac.uk,10.148.136.74,726.313129901886,1000.0,"49_amsgrad=False,batch_size=16,dim=256,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-08,0.0,False,256.0,False,1.0
15797_00050,38.349267320171826,15.0,0.5522904396057129,True,15.0,2023-06-29_13-45-16,1688042716.0,26.42792010307312,1141.0,storm.cs.nott.ac.uk,10.148.136.74,26.42792010307312,15.0,"50_amsgrad=True,batch_size=64,dim=16,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,True,16.0,False,1.0
15797_00051,38.35609570367717,15.0,0.52498459815979,True,15.0,2023-06-29_13-45-48,1688042748.0,25.83775496482849,1615.0,storm.cs.nott.ac.uk,10.148.136.74,25.83775496482849,15.0,"51_amsgrad=False,batch_size=64,dim=16,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,False,16.0,True,1.0
15797_00052,28.703766257552942,240.0,0.6747829914093018,True,240.0,2023-06-29_13-49-24,1688042964.0,209.09166359901428,2039.0,storm.cs.nott.ac.uk,10.148.136.74,209.09166359901428,240.0,"52_amsgrad=True,batch_size=16,dim=32,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,True,32.0,False,1.0
15797_00053,29.912946592571956,240.0,0.6657519340515137,True,240.0,2023-06-29_13-52-34,1688043154.0,183.24978137016296,4111.0,storm.cs.nott.ac.uk,10.148.136.74,183.24978137016296,240.0,"53_amsgrad=False,batch_size=16,dim=32,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,False,32.0,True,1.0
15797_00054,38.747985713301304,15.0,0.5447168350219727,True,15.0,2023-06-29_13-53-09,1688043189.0,26.55617117881775,5602.0,storm.cs.nott.ac.uk,10.148.136.74,26.55617117881775,15.0,"54_amsgrad=True,batch_size=32,dim=64,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,True,64.0,False,1.0
15797_00055,38.41222800751846,15.0,0.5805532932281494,True,15.0,2023-06-29_13-53-41,1688043221.0,27.07401752471924,6167.0,storm.cs.nott.ac.uk,10.148.136.74,27.07401752471924,15.0,"55_amsgrad=False,batch_size=32,dim=64,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,False,64.0,True,1.0
15797_00056,38.62806644758515,15.0,0.5209231376647949,True,15.0,2023-06-29_13-54-13,1688043253.0,25.891091346740723,6488.0,storm.cs.nott.ac.uk,10.148.136.74,25.891091346740723,15.0,"56_amsgrad=True,batch_size=64,dim=128,eps=0.0000,factor=0.9000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,True,128.0,True,1.0
15797_00057,26.27182690759921,1000.0,0.8371701240539551,True,1000.0,2023-06-29_14-06-08,1688043968.0,708.1334247589111,6794.0,storm.cs.nott.ac.uk,10.148.136.74,708.1334247589111,1000.0,"57_amsgrad=False,batch_size=16,dim=128,eps=0.0000,factor=0.9000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.9,1e-08,"(0.9, 0.999)",1e-09,0.0,False,128.0,False,1.0
