,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
494,1902,O=C1C=CCCC1,0,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,87.0,99.0
495,1903,O=C1C=CCCC1,0,COC/C=C/B1Oc2ccccc2O1,98,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,89.0,97.0
496,1904,O=C1C=CCCC1,0,C/C=C(\C)B1Oc2ccccc2O1,92,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,82.0,99.5
497,1906,O=C1C=CCCC1,0,CC(C)(C)/C=C/B(O)O,99,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,76.0,95.5
498,1907,O=C1C=CCCC1,0,CC(C)(C)/C=C/B1Oc2ccccc2O1,100,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,77.0,95.5
499,1908,O=C1C=CCCC1,0,CC(C)(C)/C=C/B1Oc2ccccc2O1,100,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,75.0,96.0
500,1909,O=C1C=CCCC1,0,CCCCC/C=C/B(O)O,95,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,88.0,97.0
501,1912,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,29.0,97.0
502,1913,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,78.0,97.5
503,1914,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,92.0,98.0
