,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
563,2149,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,96.0,93.5
564,2150,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,73.0,92.0
565,2151,CCOC(=O)/C=C/CNC(=O)OCc1ccccc1,102,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,74.0,7.0
566,2152,CCOC(=O)/C=C/CNC(=O)OCc1ccccc1,102,OB(O)c1ccc(F)cc1,21,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,70.0,5.0
567,2153,CCOC(=O)/C=C/CNC(=O)OCc1ccccc1,102,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,46.0,4.0
568,2154,CCOC(=O)/C=C/CNC(=O)OCc1ccccc1,102,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,68.0,94.0
569,2155,CCOC(=O)/C=C/CN1C(=O)c2ccccc2C1=O,103,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,56.0,29.0
570,2156,CCOC(=O)/C=C/CN1C(=O)c2ccccc2C1=O,103,OB(O)c1ccc(F)cc1,21,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,55.0,92.5
571,2157,CCOC(=O)/C=C/CN1C(=O)c2ccccc2C1=O,103,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,59.0,10.0
572,2160,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,106,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,96.0,60.5
573,2161,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,106,OB(O)c1ccccc1,7,C12C(OCO2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C5=C(OCO6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.26,R,99.0,51.5
574,2162,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,106,OB(O)c1ccccc1,7,COC1=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=C(OC)N=C(OC)C=C4P(C5=CC=CC=C5)C6=CC=CC=C6)C(OC)=N1,L1.54,S,94.0,43.5
575,2212,O=C1C=CCO1,109,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,33.0,98.0
576,2216,O=C1C=CCO1,109,OB(O)c1ccccc1,7,CN(P1OC2=C(C3=C(O1)C=C(COCC4=CC(OP(N(C)C)O5)=C(C6=C5C=CC7=C6C=CC=C7)C8=C4C=CC=C8)C9=C3C=CC=C9)C%10=C(C=C2)C=CC=C%10)C,L1.90,R,68.0,88.5
577,2224,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,77.0,1.5
578,2225,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,48.0,11.5
579,2226,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC(O1)(F)OC2C1C(C3=C(OC(F)(F)O4)C4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)=C(P(C7=CC=CC=C7)C8=CC=CC=C8)C=C2,L1.28,R,23.0,0.5
580,2227,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,77.0,1.5
581,2228,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,48.0,11.5
582,2229,O=C1C=CCO1,109,OB(O)c1ccccc1,7,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(F)=C(F)C(F)=C6)C7=CC(F)=C(F)C(F)=C7)C8C(OCCO8)C=C3)=CC(F)=C1F,L1.34,R,69.0,7.0
583,2230,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,94.0,99.0
584,2231,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,C1(P2OC(C=CC3=C4C=CC=C3)=C4C(C(C=CC=C5)=C5C=C6)=C6O2)=CC=CC=C1P7OC8=CC=C9C(C=CC=C9)=C8C%10=C%11C(C=CC=C%11)=CC=C%10O7,L1.95,R,100.0,97.0
585,2232,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC3=C2C4=C(C=CC=C5)C5=CC=C4OP(CCP6OC7=CC=C8C(C=CC=C8)=C7C9=C(O6)C=CC%10=C9C=CC=C%10)O3,L1.97,R,83.0,96.0
586,2244,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,CN(P1OC2=C(C3=C(O1)C=C(COCC4=CC(OP(N(C)C)O5)=C(C6=C5C=CC7=C6C=CC=C7)C8=C4C=CC=C8)C9=C3C=CC=C9)C%10=C(C=C2)C=CC=C%10)C,L1.90,R,72.0,94.5
587,2249,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,96.0,7.5
588,2259,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,80.0,1.5
589,2260,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,70.0,5.0
590,2261,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC(O1)(F)OC2C1C(C3=C(OC(F)(F)O4)C4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)=C(P(C7=CC=CC=C7)C8=CC=CC=C8)C=C2,L1.28,R,44.0,3.5
591,2262,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)C8C(OCCO8)C=C3)(F)F,L1.32,R,80.0,1.5
592,2263,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)C8C(OCCO8)C=C3)=CC(C(F)(F)F)=C1)(F)F,L1.33,R,70.0,5.0
593,2264,O=C1C=CCCO1,110,OB(O)c1ccccc1,7,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=C(C4=C5OCCOC5=CC=C4P(C6=CC(F)=C(F)C(F)=C6)C7=CC(F)=C(F)C(F)=C7)C8C(OCCO8)C=C3)=CC(F)=C1F,L1.34,R,41.0,3.0
594,2290,O=C1C=CCCO1,110,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,38.0,99.0
595,2291,O=C1C=CCCO1,110,COc1ccccc1B(O)O,14,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,87.0,0.5
596,2294,O=C1C=CCCO1,110,Cc1cccc(B(O)O)c1,17,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,90.0,1.5
597,2297,O=C1C=CCCO1,110,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,91.0,99.0
598,2298,O=C1C=CCCO1,110,COc1cccc(B(O)O)c1,18,CN(P1OC2=C(C3=C(O1)C=C(COCC4=CC(OP(N(C)C)O5)=C(C6=C5C=CC7=C6C=CC=C7)C8=C4C=CC=C8)C9=C3C=CC=C9)C%10=C(C=C2)C=CC=C%10)C,L1.90,R,61.0,95.5
599,2299,O=C1C=CCCO1,110,COc1cccc(B(O)O)c1,18,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,81.0,1.5
600,2300,O=C1C=CCCO1,110,Cc1ccc(B(O)O)cc1,12,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,91.0,98.5
601,2303,O=C1C=CCCO1,110,OB(O)c1ccc(C(F)(F)F)cc1,9,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,75.0,98.5
602,2304,O=C1C=CCCO1,110,OB(O)c1ccc(C(F)(F)F)cc1,9,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,90.0,0.5
603,2306,O=C1C=CCCO1,110,COc1ccc(B(O)O)cc1,10,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,83.0,1.0
604,2308,O=C1C=CCCO1,110,OB(O)c1ccc(F)cc1,21,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=CC=CC(OC)=C3C4=C(P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C=CC=C4OC)=CC(F)=C1F,L1.42,R,81.0,1.0
605,2309,O=C1C=CCCO1,110,OB(O)c1ccc(F)cc1,21,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,95.0,98.5
606,2313,O=C1C=CCCO1,110,OB(O)c1ccc2ccccc2c1,11,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,93.0,99.0
607,2314,CCC/C=C/C(=O)OC,111,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,94.0,93.0
608,2315,CCC/C=C/C(=O)OC,111,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,96.0,7.0
609,2316,CCC/C=C/C(=O)OC,111,OB(O)c1ccccc1,7,C[Si](C1=C2C(C(C3=C(C=CC=C4[Si](C)(C)C)C4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)=C(P(C7=CC=CC=C7)C8=CC=CC=C8)C=C2)=CC=C1)(C)C,L1.17,R,98.0,8.0
610,2317,CCC/C=C/C(=O)OC,111,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,94.5
611,2318,CCC/C=C/C(=O)OCC,112,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,95.0
612,2319,CCC/C=C/C(=O)OCC,112,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,95.5
613,2320,CCC/C=C/C(=O)OC(C)C,113,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,42.0,97.0
614,2321,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,96.0,97.5
615,2322,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccc(C)cc1.[Li+],48,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,83.0,97.0
616,2323,CCC/C=C/C(=O)OC(C)C,113,COc1cccc([B-](OC)(OC)OC)c1.[Li+],113,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,88.0,98.5
617,2324,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccc(C(F)(F)F)cc1.[Li+],114,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,98.0,98.0
618,2325,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccc(Cl)cc1.[Li+],115,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,95.0,98.5
619,2326,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccc2ccccc2c1.[Li+],66,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,96.0,96.5
620,2328,CCC/C=C/C(=O)OC(C)C,113,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,99.0
621,2329,CC(C)/C=C/C(=O)OC(C)C,114,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,26.0,1.5
622,2330,CC(C)/C=C/C(=O)OC(C)C,114,COc1cccc(B(O)O)c1,18,C[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.65,NoChiralAxis,92.0,11.5
623,2331,CCC/C=C/C(=O)OC(C)(C)C,115,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,21.0,97.5
624,2332,CCC/C=C/C(=O)OC(C)(C)C,115,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,92.0,98.0
625,2333,CCC/C=C/C(=O)OC(C)(C)C,115,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,86.0,96.5
626,2334,CCCC/C=C/C(=O)OC(C)C,116,CO[B-](OC)(OC)c1ccccc1.[Li+],67,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,91.0,97.5
627,2358,COC(=O)/C=C/CC(C)(C(=O)OC)C(=O)OC,120,Cc1cc(C)cc(B(O)O)c1,60,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,76.0,21.5
628,2359,CC(C)OC(=O)/C=C/C1CCN(S(C)(=O)=O)CC1,121,OB(O)c1cc(F)cc(F)c1,116,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,75.0,0.5
629,2360,CC(C)(C)OC(=O)/C=C/C1CCN(S(C)(=O)=O)CC1,122,OB(O)c1cc(F)cc(F)c1,116,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,95.0,4.0
630,2361,CC(C)(C)OC(=O)/C=C/c1cccnc1,123,COc1cccc(B(O)O)c1,18,C[Si](C#CC1=CC=CC(C1=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C(C#C[Si](C)(C)C)C=CC=C85)(C)C,L1.16,R,90.0,94.5
631,2367,COC(=O)/C=C/c1ccccc1,124,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,94.0,92.0
632,2400,CC(C)OC(=O)/C=C/c1ccccc1,126,Cc1ccc(B(O)O)cc1,12,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,28.0,88.5
633,2401,CC(C)OC(=O)/C=C/c1ccccc1,126,Cc1ccc(B(O)O)cc1,12,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,37.0,89.0
634,2402,CC(C)OC(=O)/C=C/c1ccccc1,126,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,58.0,96.0
635,2404,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccccc1B(O)O,14,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,95.0,95.0
636,2407,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,CN(C)c1ccc(B(O)O)cc1,117,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,59.0,91.0
637,2410,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,92.0,96.5
638,2411,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,76.0,95.5
639,2412,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,83.0,96.0
640,2413,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,40.0,95.5
641,2414,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,75.0,90.0
642,2415,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1,10,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,77.0,91.5
643,2422,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,OB(O)c1ccc2c(c1)OCO2,74,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,94.0,97.0
644,2423,CC(C)(C)OC(=O)/C=C/c1ccccc1,127,COc1ccc(B(O)O)cc1OC,58,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,88.0,94.0
645,2432,COc1ccccc1/C=C/C(=O)OC(C)(C)C,133,COc1cccc(B(O)O)c1,18,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,96.0,95.5
646,2436,COc1ccc(/C=C/C(=O)OC(C)(C)C)cc1,135,COc1cccc(B(O)O)c1,18,C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.66,NoChiralAxis,97.0,95.0
647,2438,CCCCOC(=O)c1nc(N(Cc2ccccc2)C(C)C)ccc1/C=C/C(=O)OC(C)(C)C,137,OB(O)c1ccccc1,7,C[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.65,NoChiralAxis,90.0,5.0
648,2439,CCCCOC(=O)c1nc(N(Cc2ccccc2)C(C)C)ccc1/C=C/C(=O)OC(C)(C)C,137,COc1ccc(B(O)O)cc1,10,C[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.65,NoChiralAxis,89.0,4.0
